,Rank,Country,Country Code,Year,Score,GDP,Family,HealthyLife,Freedom,Generosity,Corruption,CleanCooking,ElectricAccess,CO2,InternetAccess,MilitaryGDP,MobileSubs,InfantMortality
651,21,United Arab Emirates,ARE,2019,6.825,1.503,1.31,0.825,0.598,0.262,0.182,100.0,100.0,,99.14999998,,200.6320743,5.8
652,21,United Kingdom,GBR,2015,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,100.0,100.0,6.148544958,92.00029987,2.045503192,120.3319425,3.8
653,23,United Kingdom,GBR,2016,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,100.0,100.0,5.774741668,94.77580063,1.981438255,119.0555562,3.8
654,19,United Kingdom,GBR,2017,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,100.0,100.0,5.546265944,90.42455049,1.946324996,118.5404012,3.8
655,11,United Kingdom,GBR,2018,7.19,1.244,1.433,0.888,0.464,0.262,0.082,100.0,100.0,5.398708138,90.69200899,1.948755708,117.499287,3.7
656,15,United Kingdom,GBR,2019,7.054,1.333,1.538,0.996,0.45,0.348,0.278,100.0,100.0,,92.51662855,2.013004573,118.2345574,3.7
657,15,United States,USA,2015,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,100.0,100.0,15.53534211,74.55420245,3.477845166,119.1439209,5.8
658,13,United States,USA,2016,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,100.0,100.0,15.13174682,85.54442129,3.418942337,122.5945483,5.7
659,14,United States,USA,2017,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,100.0,100.0,14.80588242,87.27488917,3.313381294,123.0448345,5.7
660,18,United States,USA,2018,6.886,1.398,1.471,0.819,0.547,0.291,0.133,100.0,100.0,15.24087458,88.49890317,3.316248808,129.0140075,5.6
661,19,United States,USA,2019,6.892,1.433,1.457,0.874,0.454,0.28,0.128,100.0,100.0,,89.43028486,3.427080181,134.4588794,5.5
662,32,Uruguay,URY,2015,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,100.0,99.70948,1.931411164,64.5707871,1.820588136,151.390984,7.6
663,29,Uruguay,URY,2016,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,100.0,99.7,1.90704875,66.4,1.873463798,149.4317533,7.2
664,28,Uruguay,URY,2017,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,100.0,99.8,1.769167313,70.3223544,1.956922916,148.3299827,6.8
665,31,Uruguay,URY,2018,6.379,1.093,1.459,0.771,0.625,0.13,0.155,100.0,99.8,1.890244079,80.72684288,2.133948636,149.9042265,6.3
666,33,Uruguay,URY,2019,6.293,1.124,1.465,0.891,0.523,0.127,0.15,100.0,99.9,,83.35153377,2.059819,138.0749359,5.8
667,44,Uzbekistan,UZB,2015,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826,85.599998,100.0,3.24388397,42.8,,70.42874879,17.3
668,49,Uzbekistan,UZB,2016,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333,85.300003,100.0,3.370708901,46.79128694,,73.99520784,16.1
669,47,Uzbekistan,UZB,2017,5.97100019454956,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,85.199997,100.0,3.438864292,48.69999885,,75.92497884,15.0
670,44,Uzbekistan,UZB,2018,6.096,0.719,1.584,0.605,0.724,0.328,0.259,84.900002,100.0,3.401191282,55.20000067,3.555482552,71.51737128,14.1
671,41,Uzbekistan,UZB,2019,6.174,0.745,1.529,0.756,0.631,0.322,0.24,84.599998,100.0,,70.4000024,,101.2075903,13.3
672,75,Vietnam,VNM,2015,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,59.5,99.80340576,2.257300246,45.0,2.361155697,129.8315152,17.4
673,96,Vietnam,VNM,2016,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556,61.299999,99.2,2.390740709,53.0,2.442960753,128.7907855,17.3
674,94,Vietnam,VNM,2017,5.07399988174438,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,62.400002,100.0,2.348081292,58.14,2.267969776,126.8661299,17.1
675,95,Vietnam,VNM,2018,5.103,0.715,1.365,0.702,0.618,0.177,0.079,63.599998,100.0,2.698805922,69.84792868,2.28456986,147.1952734,17.0
676,94,Vietnam,VNM,2019,5.175,0.741,1.346,0.851,0.543,0.147,0.073,64.699997,99.4,,68.66158021,,141.2268627,16.9
677,85,Zambia,ZMB,2015,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,15.7,31.1,0.319282188,,1.75323438,72.78457238,46.9
678,106,Zambia,ZMB,2016,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,15.7,35.17316437,0.341615023,,1.429304719,73.43823048,45.6
679,116,Zambia,ZMB,2017,4.51399993896484,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,15.7,40.3,0.414747987,,1.309596105,79.73690961,44.3
680,125,Zambia,ZMB,2018,4.377,0.562,1.047,0.295,0.503,0.221,0.082,15.7,39.82230377,0.446065443,14.2999971,1.409462391,89.15704437,43.9
681,138,Zambia,ZMB,2019,4.107,0.578,1.058,0.426,0.431,0.247,0.087,15.7,43.0,,19.0,1.219374502,96.41441171,42.9
682,115,Zimbabwe,ZWE,2015,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,29.799999,33.7,0.89759836,22.7428181,1.88687572,92.34710538,42.1
683,131,Zimbabwe,ZWE,2016,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582,29.700001,39.67622757,0.783302583,23.11998904,1.742493552,91.79345804,40.8
684,138,Zimbabwe,ZWE,2017,3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,29.6,40.14428329,0.718570496,24.4,1.544948051,98.98507333,39.9
685,144,Zimbabwe,ZWE,2018,3.692,0.357,1.094,0.248,0.406,0.132,0.099,29.799999,40.61635971,0.849792905,25.0,1.222794967,89.40486891,38.8
686,146,Zimbabwe,ZWE,2019,3.663,0.366,1.114,0.433,0.361,0.151,0.089,30.0,41.08910751,,25.1,0.698600973,90.10228966,38.1
